工步,模式編號,模式工步編號,模式,功率(W),工步編號,循環,迴圈,測試時間,執行時間(毫秒),實際開始時間,實際時間(毫秒),工步種類,電壓(V),電流(A),電量(Ah),能量(KWh),ACR(mOhm),DCIR,總電量(Ah),子工步編號,子迴圈,子循環,子工步種類,狀態,迴圈3,迴圈4,工步執行時間(時:分:秒 毫秒),充電電量(Ah),放電電量(Ah),總能量(KWh),LC電流(mA),Remark,描述,溫度1(℃),溫度2(℃),溫度3(℃),溫度4(℃),溫度5(℃),溫度6(℃),溫度7(℃),溫度8(℃),Voltage(mV)_R1,Current(mA)_R1,RemainingCapacity(mAH)_R1,FullChargeCapacity(mAH)_R1,CycleCount_R1,SOH(%)_R1,RSOC(%)_R1,CHG_R1,DSG_R1,PDSG_R1,HCFET_R1,CB_R1,GPIOB_R1,CUV_R1,COV_R1,OCC_R1,OCD_R1,AOLD_R1,AOLDL_R1,ASCD_R1,ASCDL_R1,OTC_R1,OTD_R1,UTC_R1,UTD_R1,LED_ERROR0_R1,PT_CTL01_R1,PT_CTL2_R1,CellVoltage1(mV)_R2,CellVoltage2(mV)_R2,CellVoltage3(mV)_R2,CellVoltage4(mV)_R2,CellVoltage5(mV)_R2,CellVoltage6(mV)_R2,CellVoltage7(mV)_R2,CellVoltage8(mV)_R2,CellVoltage9(mV)_R2,CellVoltage10(mV)_R2,CellVoltage11(mV)_R2,CellVoltage12(mV)_R2,CellVoltage13(mV)_R2,CellVoltage14(mV)_R2,CellVoltage15(mV)_R2,CellVoltage16(mV)_R2,TS1(C)_R2,TS2(C)_R2,TS3(C)_R2,TS4(C)_R2,TS5(C)_R2,TS6(C)_R2,OFSSET0<2000_R3,OFSSET1<2200_R3,OFSSET2<2400_R3,OFSSET3<2600_R3,OFSSET4<2800_R3,OFSSET5<3000_R3,OFSSET6<3200_R3,OFSSET7<3400_R3,OFSSET8<3600_R3,OFSSET9<3800_R3,ORG_CELL16_R3,FIX_CELL16_R3,TS7(C)_R4,MaxError_R4,PendingEDV_R4,ExtAveCellVoltage(mV)_R4,BatteryStatus_R4,OperationStatus0_R4,OperationStatus1_R4,SafetyStatus0_R4,SafetyStatus1_R4,GaugingStatus_R4,GS_EDV2_R4,GS_EDV1_R4,GS_EDV0_R4,GS_TC_R4,GS_TD_R4,GS_FC_R4,GS_FD_R4,GS_BALOK_R4,GS_DSG_R4,GS_CF_R4,GS_REST_R4,GS_OCVFR_R4,GS_FCCX_R4,GS_VDQ_R4,Serial_Number1_R5,Serial_Number2_R5,Serial_Number3_R5,Manufacturer_Name1_R5,Manufacturer_Name2_R5,Manufacturer_Name3_R5,Manufacture_Date_R6,BMS_Serial_Number_R6,Device_Chemistry_R6,BMS_FW_VER1_R6,BMS_FW_VER2_R6,BMS_FW_DATE_R6,EDV0_R7,EDV1_R7,EDV2_R7,HV1,HV2,HV3,HV4,HV5,HV6,HV7,HV8,HV9,HV10,HV11,HV12,HV13,HV14,HV15,HV16,HV17,HT1,HT2,HT3,HT4,HT5,HT6,HT7,HT8,HT9,HT10,HT11,HT12,HT13
1,0,1,0,1777.3858,1,1,1,2025-03-07 08:51:47.525,160,2025-03-07 08:51:47.625,260,CC-CV Charge,54.6154,32.5437,0.0008,0,0,0,0.0008,0,0,0,REST,CP_Charge,1,1,00:00:00 160,0.0008,0,0,0,,,0,0,0,0,0,0,0,0,54153,24180,22240,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3384,3384,3383,3384,3383,3384,3384,3386,3383,3385,3386,3383,3384,3384,3383,3404,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3381,3404,-273,100,0,3388,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.007,-0.009,-0.0045,-0.0075,-0.008,-0.011,-0.008,-0.002,-0.001,0.022,0.0245,-0.008,-0.0175,-0.003,0.011,0.021,-0.0035,22,22,22,21.9,21.9,22,22,22,21.9,21.9,21.9,21.8,21.9
1,0,1,1,1146.3871,1,1,1,2025-03-07 08:51:50.365,3000,2025-03-07 08:51:50.465,3100,CC-CV Charge,54.5021,21.0338,0.0198,0.0011,0,0,0.0198,0,0,0,REST,CV_Charge,1,1,00:00:03 000,0.0198,0,0.0011,0,,,0,0,0,0,0,0,0,0,54153,24180,22240,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3384,3384,3383,3384,3383,3384,3384,3386,3383,3385,3386,3383,3384,3384,3383,3404,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3381,3404,-273,100,0,3388,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0065,0.008,0.003,0.006,0.0065,0.01,0.006,0.0015,0.001,-0.024,-0.029,0.0045,0.011,-0.0025,-0.0135,-0.029,-0.0015,22,22,21.9,22,21.9,22,22,22.1,21.9,21.9,21.8,21.9,21.9
1,0,1,1,833.9048,1,1,1,2025-03-07 08:51:53.365,6000,2025-03-07 08:51:53.465,6100,CC-CV Charge,54.502,15.3004,0.0339,0.0018,0,0,0.0339,0,0,0,REST,CV_Charge,1,1,00:00:06 000,0.0339,0,0.0018,0,,,0,0,0,0,0,0,0,0,54256,17310,22260,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3389,3388,3388,3389,3389,3389,3390,3391,3388,3391,3391,3389,3389,3389,3398,3406,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3383,3406,-273,100,0,3392,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.006,0.01,0.005,-0.002,-0.004,-0.0055,-0.005,0.0025,0.006,0.017,0.004,-0.017,-0.015,0.0035,0.019,-0.018,-0.002,22,21.9,21.9,21.9,22,21.9,22.1,22,21.9,21.9,21.9,21.8,21.8
1,0,1,1,638.8821,1,1,1,2025-03-07 08:51:56.365,9000,2025-03-07 08:51:56.465,9100,CC-CV Charge,54.5043,11.7217,0.0445,0.0024,0,0,0.0445,0,0,0,REST,CV_Charge,1,1,00:00:09 000,0.0445,0,0.0024,0,,,0,0,0,0,0,0,0,0,54297,13580,22260,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3393,3392,3391,3392,3392,3393,3393,3394,3392,3395,3393,3393,3393,3393,3393,3407,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3384,3407,-273,100,0,3397,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0005,0,-0.001,0.0045,0.0045,0.0075,0.0055,-0.001,-0.0025,-0.024,-0.023,0.008,0.01,-0.006,-0.0175,-0.0125,-0.002,21.9,21.9,21.9,21.8,21.9,22,22,22,21.9,21.9,21.9,21.8,21.8
1,0,1,1,499.3929,1,1,1,2025-03-07 08:51:59.365,12000,2025-03-07 08:51:59.465,12100,CC-CV Charge,54.5053,9.1623,0.0528,0.0029,0,0,0.0528,0,0,0,REST,CV_Charge,1,1,00:00:12 000,0.0528,0,0.0029,0,,,0,0,0,0,0,0,0,0,54328,11460,22270,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3393,3394,3394,3395,3394,3395,3395,3396,3394,3397,3393,3395,3396,3394,3404,3408,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3385,3408,-273,100,0,3397,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0085,0.0125,0.006,-0.001,-0.003,-0.0035,-0.005,0.003,0.0075,0.016,0.001,-0.018,-0.0145,0.0035,0.0195,-0.025,-0.0025,22,22,22,21.9,22,22,22,22.1,21.9,21.9,21.9,21.9,21.9
1,0,1,1,399.7928,1,1,1,2025-03-07 08:52:02.365,15000,2025-03-07 08:52:02.465,15100,CC-CV Charge,54.5018,7.3354,0.0594,0.0032,0,0,0.0594,0,0,0,REST,CV_Charge,1,1,00:00:15 000,0.0594,0,0.0032,0,,,0,0,0,0,0,0,0,0,54362,7790,22290,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3393,3396,3396,3397,3395,3397,3398,3398,3396,3399,3395,3397,3397,3396,3406,3412,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3389,3412,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.004,0.0055,0.0015,0.006,0.0055,0.0095,0.006,0,0,-0.023,-0.0265,0.005,0.012,-0.003,-0.015,-0.0215,-0.002,22,22,21.9,22,22,22,22.1,22.1,21.9,21.9,21.8,21.9,21.8
1,0,1,1,335.6339,1,1,1,2025-03-07 08:52:05.365,18000,2025-03-07 08:52:05.465,18100,CC-CV Charge,54.4991,6.1585,0.0648,0.0035,0,0,0.0648,0,0,0,REST,CV_Charge,1,1,00:00:18 000,0.0648,0,0.0035,0,,,0,0,0,0,0,0,0,0,54373,6400,22300,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3393,3397,3397,3398,3397,3399,3398,3399,3397,3400,3397,3397,3397,3397,3400,3413,23,23,22,22,21,21,14,16,17,15,17,15,20,23,23,27,3390,3413,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,-0.0035,-0.0045,-0.002,-0.007,-0.0075,-0.0105,-0.0075,-0.0005,0,0.023,0.02,-0.0105,-0.016,-0.0015,0.011,0.0135,-0.0035,22,21.9,21.9,22,21.9,22,22,22,22,21.9,21.9,21.8,21.9
1,0,1,1,283.9631,1,1,1,2025-03-07 08:52:08.365,21000,2025-03-07 08:52:08.465,21100,CC-CV Charge,54.5011,5.2102,0.0694,0.0038,0,0,0.0694,0,0,0,REST,CV_Charge,1,1,00:00:21 000,0.0694,0,0.0038,0,,,0,0,0,0,0,0,0,0,54384,5480,22300,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3394,3397,3397,3398,3397,3399,3399,3399,3397,3400,3397,3398,3398,3397,3406,3414,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3391,3414,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0155,0.02,0.01,0.007,0.0055,0.0095,0.004,0.007,0.01,-0.0105,-0.0275,-0.007,0.0035,0.0025,0.0035,-0.0515,-0.0015,22,22,22,22,22,22,22.1,22,21.9,22,21.9,21.9,21.9
1,0,1,1,245.0368,1,1,1,2025-03-07 08:52:11.365,24000,2025-03-07 08:52:11.465,24100,CC-CV Charge,54.4981,4.4962,0.0733,0.004,0,0,0.0733,0,0,0,REST,CV_Charge,1,1,00:00:24 000,0.0733,0,0.004,0,,,0,0,0,0,0,0,0,0,54385,5100,22300,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3395,3398,3398,3399,3397,3399,3399,3399,3398,3401,3398,3398,3398,3398,3398,3416,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3393,3416,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.0055,0.0085,0.0045,-0.003,-0.0045,-0.0065,-0.005,0.003,0.006,0.017,0.0045,-0.017,-0.015,0.003,0.0195,-0.016,-0.001,21.9,22,22,22,22,22,22.1,22.1,21.9,21.9,21.8,21.9,21.8
1,0,1,1,222.1217,1,1,1,2025-03-07 08:52:14.365,27000,2025-03-07 08:52:14.465,27100,CC-CV Charge,54.501,4.0756,0.0768,0.0042,0,0,0.0768,0,0,0,REST,CV_Charge,1,1,00:00:27 000,0.0768,0,0.0042,0,,,0,0,0,0,0,0,0,0,54408,4410,22310,45000,0,100,50,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3396,3398,3398,3399,3398,3400,3399,3399,3398,3401,3398,3398,3399,3398,3406,3418,23,23,22,22,22,21,14,16,17,15,17,15,20,23,23,27,3395,3418,-273,100,0,3401,128,263,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16SR3050,B0024122,0,NEOTEC,,,20250306,0x0001,LFP,V1.06c3,,20241227,3008,3054,3045,0.015,0.0215,0.0115,0.006,0.005,0.0075,0.0025,0.0065,0.01,-0.0025,-0.022,-0.012,-0.0035,0.003,0.0115,-0.0545,-0.0025,22.1,22,22,22,22,22.1,22.1,22.1,21.9,22,21.9,21.9,21.9
