* Texas Instruments Data Flash File
* File created Tue Jul 30 11:02:05 2024
*
* Device Number 1E9B
* Firmware Version 3.00
* Build Number 31
* Order Number 0
*
* bqz Device Number 1E9B
* bqz Firmware Version 3.00
* bqz Build Number 31
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Current","CC Gain","0.987","mOhm"
"Calibration","Current","Capacity Gain","0.987","mOhm"
"Calibration","Voltage","Cell1 Offset","-5","mV"
"Calibration","Voltage","Cell2 Offset","-8","mV"
"Calibration","Voltage","Cell3 Offset","-7","mV"
"Calibration","Voltage","Cell4 Offset","-8","mV"
"Calibration","Voltage","Cell5 Offset","-6","mV"
"Calibration","Voltage","Cell6 Offset","-5","mV"
"Calibration","Voltage","Cell7 Offset","-8","mV"
"Calibration","Voltage","Cell8 Offset","-5","mV"
"Calibration","Voltage","Cell9 Offset","-6","mV"
"Calibration","Voltage","Cell10 Offset","-5","mV"
"Calibration","Voltage","Cell11 Offset","-5","mV"
"Calibration","Voltage","Cell12 Offset","-7","mV"
"Calibration","Voltage","Cell13 Offset","-8","mV"
"Calibration","Voltage","Cell14 Offset","-6","mV"
"Calibration","Voltage","Cell15 Offset","-5","mV"
"Calibration","Current Offset","CC Offset","0","-"
"Calibration","Current Offset","Coulomb Counter Offset Samples","64","-"
"Calibration","Temperature","T1 Temp Offset","0.1","degC"
"Calibration","Temperature","T2 Temp Offset","0.3","degC"
"Calibration","Temperature","T3 Temp Offset","0.3","degC"
"Calibration","Temperature","Gauge Internal Temp Offset","-8.5","degC"
"Calibration","Ext Cell Voltage","Ext Cell Divider Gain","4182","-"
"Calibration","VAux Voltage","VAux Gain","5000","-"
"Calibration","Cell Temperature Model","Coeff a1","-11130","-"
"Calibration","Cell Temperature Model","Coeff a2","19142","-"
"Calibration","Cell Temperature Model","Coeff a3","-19262","-"
"Calibration","Cell Temperature Model","Coeff a4","28203","-"
"Calibration","Cell Temperature Model","Coeff a5","892","-"
"Calibration","Cell Temperature Model","Coeff b1","328","-"
"Calibration","Cell Temperature Model","Coeff b2","-605","-"
"Calibration","Cell Temperature Model","Coeff b3","-2443","-"
"Calibration","Cell Temperature Model","Coeff b4","4696","-"
"Calibration","Cell Temperature Model","Rc0","11703","-"
"Calibration","Cell Temperature Model","Adc0","11703","-"
"Calibration","Fet Temperature Model","Coeff a1","-11130","-"
"Calibration","Fet Temperature Model","Coeff a2","19142","-"
"Calibration","Fet Temperature Model","Coeff a3","-19262","-"
"Calibration","Fet Temperature Model","Coeff a4","28203","-"
"Calibration","Fet Temperature Model","Coeff a5","892","-"
"Calibration","Fet Temperature Model","Coeff b1","328","-"
"Calibration","Fet Temperature Model","Coeff b2","-605","-"
"Calibration","Fet Temperature Model","Coeff b3","-2443","-"
"Calibration","Fet Temperature Model","Coeff b4","4696","-"
"Calibration","Fet Temperature Model","Rc0","11703","-"
"Calibration","Fet Temperature Model","Adc0","11703","-"
"Calibration","Fet Temperature Model","Rpad","0","-"
